町丁目・大字別人口及び世帯,,,,,,,,,,,,,
令和8年7月末現在,,,,,,,,,,,,,
,,,,,,,,,,,,,
年,月,区名,住所名,秘匿区分,人口（総数計）:人,人口（総数男）:人,人口（総数女）:人,人口（日本人計）:人,人口（日本人男）:人,人口（日本人女）:人,人口（外国人）:人,世帯（総数）:世帯,世帯（日本人世帯）:世帯
2026,7,東区,矢賀四丁目,,788,375,413,761,365,396,27,491,468
2026,7,東区,矢賀五丁目,,40,20,20,40,20,20,0,18,18
2026,7,東区,矢賀六丁目,,983,484,499,974,482,492,9,437,428
2026,7,東区,東山町,,"1,235",575,660,"1,222",570,652,13,604,596
2026,7,東区,戸坂くるめ木一丁目,,"1,667",772,895,"1,626",750,876,41,820,792
2026,7,東区,戸坂くるめ木二丁目,,"1,037",533,504,"1,014",518,496,23,533,515
2026,7,東区,戸坂千足一丁目,,"1,779",830,949,"1,764",826,938,15,947,932
2026,7,東区,戸坂千足二丁目,,"1,060",484,576,"1,039",477,562,21,479,467
2026,7,東区,戸坂山崎町,,"1,180",566,614,"1,168",560,608,12,561,553
2026,7,東区,戸坂惣田一丁目,,571,287,284,561,283,278,10,294,286
